FID	IID	PC1	PC2
C001	C001	0.0351543	-0.0169274
C002	C002	-0.0375601	0.0309236
C003	C003	-0.059301	0.000577485
C004	C004	-0.0667714	-0.0105144
C005	C005	-0.05386	0.000938372
C006	C006	0.0364894	-0.0191638
C007	C007	0.0368036	-0.0190643
C008	C008	0.0348999	-0.013895
C009	C009	0.0353578	-0.0233106
C010	C010	-0.0528979	-0.00432822
C011	C011	0.0235251	-0.0260724
C012	C012	-0.0696379	-0.0172212
C014	C014	-0.0581941	-0.0108224
C015	C015	0.0157664	0.153288
C016	C016	-0.071809	-0.0159088
C017	C017	-0.0707083	-0.0134313
C019	C019	0.0391458	-0.0274649
C020	C020	0.0385174	-0.0257421
C022	C022	0.0335538	-0.0185572
C023	C023	-0.0672645	-0.0116706
C024	C024	0.0337375	-0.0268184
C025	C025	0.0311673	-0.0189458
C026	C026	-0.0725006	-0.0171755
C027	C027	0.0318649	-0.01734
C028	C028	-0.0688467	-0.015556
C029	C029	-0.0554909	-0.0112608
C030	C030	0.0363449	-0.0216209
C031	C031	0.0365633	-0.0219945
C032	C032	-0.0692837	-0.0131987
C033	C033	0.0383109	-0.0244775
C034	C034	-0.0693248	-0.0128837
C035	C035	-0.0682499	-0.0131831
C036	C036	0.0360918	-0.0129837
C037	C037	0.0392932	-0.0252873
C038	C038	0.0370935	-0.019871
C039	C039	0.0384541	-0.0284843
C040	C040	0.0389889	-0.0273933
C041	C041	0.0379555	-0.0230781
C042	C042	0.0365349	-0.0235458
C043	C043	0.0381649	-0.0248807
C044	C044	0.0295919	-0.01317
C045	C045	0.0379942	-0.0213943
C046	C046	0.0350389	-0.020268
C047	C047	0.0368998	-0.0206182
C048	C048	-0.0712784	-0.0166742
C049	C049	0.032552	-0.0226518
C050	C050	0.0319509	-0.0222711
C051	C051	-0.0246294	-0.0158578
C052	C052	-0.0715689	-0.0165798
C053	C053	0.0292053	-0.0176856
C054	C054	-0.0674474	-0.0172622
C055	C055	0.0358414	-0.0232701
C056	C056	-0.071778	-0.0158257
C057	C057	-0.0628794	-0.0102343
C058	C058	0.0386212	-0.0272039
C059	C059	0.0376866	-0.0264706
C060	C060	0.0383941	-0.024893
C061	C061	0.0374345	-0.0203882
C062	C062	0.0332576	-0.0231205
C063	C063	-0.069331	-0.0184291
C064	C064	-0.0700976	-0.0172653
C066	C066	0.0329051	-0.0139018
C067	C067	-0.0686804	-0.0164875
C068	C068	0.0338038	-0.0210263
C069	C069	0.0369347	-0.0181958
C070	C070	-0.072166	-0.016675
C071	C071	-0.0684195	-0.0156712
C072	C072	0.0370105	-0.022884
